KLBW028064,0,,0,0,0,0,0,0,0,21.455,0.3,0.3,,,
KLBW028065,0,,0,0,0,0,0,0,0,21.73,0.3,0.3,,,
KLBW028066,0,,0,0,0,0,0,0,0,7.81,0.3,0.3,,,
KLBW028067,0,,0,0,0,0,0,0,0,2.114,0.3,0.3,,,
KLBW028068,0,,0,0,0,0,0,0,0,1.556,0.3,0.3,,,
KLBW028069,0,,0,0,0,0,0,0,0,1.601,0.3,0.3,,,
KLBW028070,0,,0,0,0,0,0,0,0,1.5925,0.3,0.3,,,
KLBW028350,0,,0,0,0,0,0,0,0,10.4,0.3,0.3,,,
KLBW028351,0,,0,0,0,0,0,0,0,9.82,0.3,0.3,,,
KLBW028568,0,,0,0,0,0,0,0,0,6.33789,0.3,0.3,,,
KLBW028571,0,,0,0,0,0,0,0,0,6.4735,0.3,0.3,,,
KLBW028572,0,,0,0,0,0,0,0,0,6.3285,0.3,0.3,,,
KLDW000238,0,,0,0,0,0,0,0,0,0.31818,0.3,0.3,,,
KLDW000245,0.2,,0,0,0,0,0,0,0,0.8412,0.3,0.3,,,
KLDW000251,0.1,,0.055,1,0,0,0,0,0,0.902,0.3,0.3,,,
KLDW000251,0.2,,0,0,0,0,0,0,0,1.175,0.3,0.3,,,
KLDW000257,0,,0.041,1,0,0,0,0,0,1.70067,0.3,0.3,,,
KLDW000257,0.1,,0,0,0,0,0,0,0,1.741,0.3,0.3,,,
KLDW000267,0,,0,0,0,0,0,0,0,4.036,0.3,0.3,,,
KLDW000267,0.1,,0,0,0,0,0,0,0,1.4872,0.3,0.3,,,
KLDW000273,0,,0.205,13,0,0,0,0,0,1.885,0.3,0.3,,,
KLDW000273,0.1,,0.149,12,0,0,0,0,0,1.9525,0.3,0.3,,,
KLDW000689,0.1,,0,0,0,0,0,0,0,0.943,0.3,0.3,,,
KLDW000710,0.1,,0,0,0,0,0,0,0,0.879,0.3,0.3,,,
KLDW000792,0,,0,0,0,0,0,0,0,1.03091,0.3,0.3,,,
KLDW001484,0,,0,0,0,0,0,0,0,0.3375,0.3,0.3,,,
KLDW001484,0.2,,0,0,0,0,0,0,0,1.34,0.3,0.3,,,
KLDW001485,0,,0,0,0,0,0,0,0,,,,,,
KLDW001485,0.2,,0.152,14,0,0,0,0,0,1.6,0.3,0.3,,,
KLDW001496,0.1,,0,0,0,0,0,0,0,0.732,0.3,0.3,,,
KLDW001497,0.1,,0,0,0,0,0,0,0,0.575,0.3,0.3,,,
KLDW001512,0.1,,0,0,0,0,0,0,0,1.004,0.3,0.3,,,
KLDW001517,0.1,,0,0,0,0,0,0,0,0.745,0.3,0.3,,,
KLDW001559,0.1,,0,0,0,0,0,0,0,1.05467,0.3,0.3,,,
KLDW001559,0.2,,0,0,0,0,0,0,0,1.44,0.3,0.3,,,
KLDW001575,0.1,,0,0,0,0,0,0,0,0.90633,0.3,0.3,,,
KLDW001597,0,,0,0,0,0,0,0,0,1.09856,0.3,0.3,,,
KLDW001615,0,,0,0,0,0,0,0,0,0.96167,0.3,0.3,,,
KLDW001634,0.1,,0,0,0,0,0,0,0,1.134,0.3,0.3,,,
KLDW001656,0,,0,0,0,0,0,0,0,0.88609,0.3,0.3,,,
KLDW006135,0,,0,0,0,0,0,0,0,0.3025,0.3,0.3,,,
KLDW006514,0.1,,0,0,0,0,0,0,0,0.75467,0.3,0.3,,,
KLDW006514,0.2,,0,0,0,0,0,0,0,0.81233,0.3,0.3,,,
KLDW006516,0.2,,0,0,0,0,0,0,0,1.1138,0.3,0.3,,,
KLDW006520,0.1,,0,0,0,0,0,0,0,1.28267,0.3,0.3,,,
KLDW006521,0,,0.041,1,0,0,0,0,0,1.05633,0.3,0.3,,,
KLDW006521,0.1,,0,0,0,0,0,0,0,1.08557,0.3,0.3,,,
KLDW006524,0.1,,0,0,0,0,0,0,0,0.74825,0.3,0.3,,,
KLDW006533,0.1,,0.086,1,0,0,0,0,0,0.759,0.3,0.3,,,
KLDW006533,0.2,,0,0,0,0,0,0,0,0.73175,0.3,0.3,,,
